filename,ID,source,country,originalID,year
SRR3240413_final.fasta,SRR3240413,human,US,,2016
SRR3240411_final.fasta,SRR3240411,human,US,,2016
SRR3240399_final.fasta,SRR3240399,human,US,,2016
SRR3240397_final.fasta,SRR3240397,human,US,,2016
SRR3240410_final.fasta,SRR3240410,human,US,,2016
SRR3240404_final.fasta,SRR3240404,human,US,,2016
SRR3240400_final.fasta,SRR3240400,human,US,,2016
SRR3240408_final.fasta,SRR3240408,human,US,,2016
SRR3240402_final.fasta,SRR3240402,human,US,,2016
SRR3240403_final.fasta,SRR3240403,human,US,,2016
SRR3240398_final.fasta,SRR3240398,human,US,,2016
SRR3240406_final.fasta,SRR3240406,human,US,,2016
SRR3240409_final.fasta,SRR3240409,human,US,,2016
SRR3240407_final.fasta,SRR3240407,human,US,,2016
SRR3240405_final.fasta,SRR3240405,human,US,,2016
SRR3240401_final.fasta,SRR3240401,human,US,,2016
SRR3240414_final.fasta,SRR3240414,human,US,,2016
SRR3240412_final.fasta,SRR3240412,human,US,,2016
GCA_000240095.2_E.anophelis_genomic.fna,Ag1,mosquito,US,,2010
GCA_000331815.1_ASM33181v1_genomic.fna,R26,mosquito,Sweden,,2006
GCA_000689455.1_E18064v1_PRJEB5242_genomic.fna,V0378064,"human, neonate, meningitis",Africa,,2012
GCA_000689515.1_E27107v1_PRJEB5243_genomic.fna,Po0527107,"human, neonate, meningitis",Africa,,2012
GCA_000447375.1_C874_spades_genomic.fna,Strain_502,"human, wound swab",UK,E. mening,2012
GCA_000735205.1_ASM73520v1_genomic.fna,B2D,dental plaque,Malaysia,E. mening,2013
GCA_000773465.1_ASM77346v1_genomic.fna,Endophthalmitis,vitreous fluid,India,E. mening,2014
GCA_000496035.1_NUH6_genomic.fna,NUH6,environmental - sink aerator,Singapore,,2012
GCA_000496055.1_NUH11_genomic.fna,NUH11,environmental - sink aerator,Singapore,,2012
GCA_000496015.1_NUH4_genomic.fna,NUH4,environmental - sink aerator,Singapore,,2012
GCA_000495935.2_ASM49593v2_genomic.fna,NUHP1,environmental - sink aerator,Singapore,,2012
GCA_000495975.1_NUHP3_genomic.fna,NUHP3,human (sputum),Singapore,,2012
GCA_000495955.1_NUHP2_genomic.fna,NUHP2,human (blood),Singapore,,2012
GCA_000495995.1_NUH1_genomic.fna,NUH1,human (sputum),Singapore,,2012
ERS605480.fasta.srt,NCTC10588,human,US,E. mening,1962
GCA_000982575.1_PW2806_genomic.fna,PW2806,human,HK,,2012
GCA_001050935.1_ASM105093v1_genomic.fna,PW2809,human,HK,,2012
