Isolate	Cover%_CP007547	Depth_CP007547	Mapped%_CP007547	Mapped%_Total	Total_Reads	Insert_Mean	Insert_StDev	Length_Max	Base_Qual_Mean	Base_Qual_StDev	A_%	T_%	G_%	C_%	N_%
SRR3240403	84.7589882256	50.3678332814	91.4075942159	91.4075942159	983380	538.4529	140.2981	251	36.1515	6.7165	31.8634	31.9828	18.1035	18.0502	0.0000
SRR3240404	84.8247802888	57.2479414962	89.2383241896	89.2383241896	1099838	553.7880	109.4759	251	35.9958	6.9660	31.7582	31.8852	18.2111	18.1455	0
SRR3240405	84.9550142477	75.4756663366	92.4272554302	92.4272554302	1420106	510.2413	95.3031	251	36.4645	6.2534	31.7494	31.8812	18.2114	18.1580	0.0000
SRR3240406	84.1145463849	103.1848609	93.2165721202	93.2165721202	2057190	455.4736	97.5149	251	36.7204	5.9603	31.6141	31.7364	18.3763	18.2732	0
SRR3240407	83.793549769	77.7932611506	88.1576826454	88.1576826454	1526154	498.4152	89.6480	251	36.3449	6.5720	31.7654	31.8809	18.2205	18.1333	0.0000
SRR3240408	84.9588359084	76.591183969	85.3726351037	85.3726351037	1631784	537.5244	119.6067	251	35.6507	7.7922	31.5474	31.6703	18.4118	18.3705	0.0000
SRR3240409	84.0092790838	75.1603620861	91.0315159582	91.0315159582	1418456	520.4984	99.2362	251	36.3227	6.5275	31.7885	31.8817	18.2006	18.1292	0.0000
SRR3240410	86.4720075939	92.023844318	93.0618966496	93.0618966496	1761000	520.8290	93.4477	251	33.8600	9.1745	31.7997	31.9082	18.1668	18.1253	0
SRR3240411	84.9056988055	118.138159517	93.1836751739	93.1836751739	2202976	534.2286	96.9220	251	33.8811	9.1719	31.7708	31.8939	18.1943	18.1410	0
SRR3240412	85.0563454671	110.999506298	93.1000285629	93.1000285629	2128632	508.9074	94.3580	251	33.8229	9.2482	31.6959	31.8203	18.2649	18.2189	0
SRR3240413	84.8724023005	121.245858609	93.9253710602	93.9253710602	2230770	523.1753	100.2915	251	35.7965	6.9949	31.8735	31.9890	18.0908	18.0467	0
SRR3240414	85.0478554305	103.996563921	93.913136477	93.913136477	1879408	533.1802	97.2452	251	35.7538	6.9617	31.9002	32.0283	18.0615	18.0099	0
SRR3240397	84.9396818364	102.008462927	91.0627619086	91.0627619086	1955358	506.4259	90.4117	251	36.3431	6.5863	31.7055	31.8445	18.2512	18.1988	0
SRR3240398	83.8236653708	74.0004398094	92.8147998519	92.8147998519	1485150	464.4560	104.4974	251	36.4885	6.3584	31.5551	31.6914	18.4310	18.3225	0
SRR3240399	84.8558799111	102.201471337	94.2704815876	94.2704815876	1877540	496.3222	89.1333	251	36.6472	5.8873	31.4927	31.6590	18.4639	18.3843	0
SRR3240400	84.9717197107	87.4130779038	91.7823961119	91.7823961119	1639456	510.9330	92.0298	251	36.4812	6.2030	31.8269	31.9576	18.1331	18.0824	0
SRR3240401	84.8079375207	95.7455348289	92.6065044822	92.6065044822	1761616	522.9904	94.4595	251	36.4531	6.2539	31.8053	31.9431	18.1567	18.0948	0
SRR3240402	84.7748927418	74.7331962574	92.6175769127	92.6175769127	1402954	511.7306	96.5887	251	36.4575	6.2700	31.7668	31.8869	18.1936	18.1527	0
