contigFile,numContigs,totalBases,N50,smallest,lowerQ,median,upperQ,largest
SRR3240397_scaffolds_filtered.fasta,12,3907661,606933,365,2409,259257,526146,1546089
SRR3240398_scaffolds_filtered.fasta,15,3830080,606933,138,1446,4929,318991,1469631
SRR3240399_scaffolds_filtered.fasta,14,3907813,606933,365,2409,155396,480215,1545987
SRR3240400_scaffolds_filtered.fasta,14,3907915,606933,365,2409,155396,480215,1546089
SRR3240401_scaffolds_filtered.fasta,12,3907558,606933,365,2409,259257,526146,1545987
SRR3240402_scaffolds_filtered.fasta,16,3906930,606744,138,1446,124977,354492,1545885
SRR3240403_scaffolds_filtered.fasta,11,3912928,613528,365,2409,155455,480215,1810021
SRR3240404_scaffolds_filtered.fasta,10,3910632,2029668,487,2409,155261,606633,2029668
SRR3240405_scaffolds_filtered.fasta,14,3907914,606932,365,2409,155396,480215,1546089
SRR3240406_scaffolds_filtered.fasta,14,3830044,606933,365,2409,155396,478700,1469733
SRR3240407_scaffolds_filtered.fasta,10,3834369,1953408,487,2409,155261,606633,1953408
SRR3240408_scaffolds_filtered.fasta,12,3907457,606933,365,2409,259257,526146,1545885
SRR3240409_scaffolds_filtered.fasta,9,3834361,1958406,365,2409,265663,526146,1958406
SRR3240410_scaffolds_filtered.fasta,12,3907422,606933,365,2409,259257,526146,1545987
SRR3240411_scaffolds_filtered.fasta,14,3907813,606933,365,2409,155396,480215,1545987
SRR3240412_scaffolds_filtered.fasta,12,3907661,606933,365,2409,259257,526146,1546089
SRR3240413_scaffolds_filtered.fasta,14,3907915,606933,365,2409,155396,480215,1546089
SRR3240414_scaffolds_filtered.fasta,14,3907813,606933,365,2409,155396,480215,1545987
