Isolate	SRR3240397	SRR3240398	SRR3240399	SRR3240400	SRR3240401	SRR3240402	SRR3240403	SRR3240404	SRR3240405	SRR3240406	SRR3240407	SRR3240408	SRR3240409	SRR3240410	SRR3240411	SRR3240412	SRR3240413	SRR3240414
Cover%_SRR3240412_unique_concat	99.9999487882	98.6388931494	99.9982331934	100.0	100.0	99.9982331934	100.0	99.975341525	100.0	98.8661710561	98.7581910051	100.0	99.0397277991	100.0	100.0	100.0	99.9982331934	99.9982331934
Depth_SRR3240412_unique_concat	103.047143546	74.4344463351	102.015492351	88.756895603	96.8087833846	75.5478592839	51.27395873	58.0437246503	76.4557149921	103.782780995	78.7035039439	77.3862154772	75.9788825779	94.9519385069	119.633479295	112.341208767	123.213133648	105.975258637
Mapped%_SRR3240412_unique_concat	95.6572658306	97.0830555836	98.2063764287	96.7616697246	97.3940404719	97.4334154933	96.6312107222	94.0172098073	97.2242917078	97.4420933409	92.8226771348	89.6853995382	95.7600376748	97.9737081204	98.0376545183	97.8155923617	99.1847657984	99.2125711926
Mapped%_Total	95.6572658306	97.0830555836	98.2063764287	96.7616697246	97.3940404719	97.4334154933	96.6312107222	94.0172098073	97.2242917078	97.4420933409	92.8226771348	89.6853995382	95.7600376748	97.9737081204	98.0376545183	97.8155923617	99.1847657984	99.2125711926
Total_Reads	1955358	1485150	1877540	1639456	1761616	1402954	983380	1099838	1420106	2057190	1526154	1631784	1418456	1761000	2202976	2128632	2230770	1879408
Insert_Mean	506.8227	466.0510	496.2631	511.6052	523.4738	512.4892	540.4760	554.9673	511.1457	456.0773	499.1329	537.8995	521.4370	520.8939	534.2372	508.7725	523.6271	533.3281
Insert_StDev	89.7121	104.3448	88.4757	91.3478	93.7669	95.8941	139.9534	108.5148	94.7621	97.5065	89.1530	118.8584	98.2921	92.5407	95.9694	93.4477	99.0857	96.2370
Length_Max	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251
Base_Qual_Mean	36.3433	36.4929	36.6603	36.4837	36.4590	36.4630	36.1466	35.9935	36.4701	36.7238	36.3397	35.6350	36.3217	33.8928	33.9120	33.8546	35.8274	35.7867
Base_Qual_StDev	6.6054	6.3690	5.8810	6.2150	6.2604	6.2763	6.7360	6.9845	6.2604	5.9725	6.6011	7.8347	6.5466	9.1375	9.1365	9.2132	6.9590	6.9212
A_%	32.0301	31.8832	31.8220	32.1382	32.1251	32.0701	32.1596	32.0792	32.0754	31.9352	32.0655	31.8421	32.0711	32.0882	32.0608	32.0000	32.1664	32.1966
T_%	31.7937	31.6597	31.5904	31.9255	31.9144	31.8634	31.9677	31.8468	31.8424	31.7119	31.8606	31.6281	31.8839	31.9014	31.8768	31.7878	31.9776	32.0165
G_%	18.1460	18.2744	18.3561	18.0210	18.0319	18.1051	17.9894	18.0774	18.0988	18.2252	18.0674	18.3357	18.0757	18.0831	18.1190	18.1887	18.0065	17.9718
C_%	18.0302	18.1827	18.2315	17.9153	17.9286	17.9615	17.8833	17.9967	17.9834	18.1278	18.0064	18.1942	17.9693	17.9273	17.9433	18.0235	17.8494	17.8150
N_%	0	0	0	0	0	0	0.0000	0	0	0	0.0000	0.0000	0.0000	0	0	0	0	0
