	SRR3240401_final	GCA_000982575.1	SRR3240409_final	GCF_000495995.1	GCF_000496035.1	GCF_001011675.1	GCF_001521765.1	GCF_001483145.1	GCF_001051975.1	SRR3240402_final	SRR3240405_final	GCF_000955665.1	GCF_000495935.1	GCF_000496015.1	GCF_001521735.1	GCF_000495975.1	GCF_001521815.1	GCF_000689515.1	GCF_001050935.1	SRR3240399_final	GCF_000495955.1	GCF_000769445.1	GCF_000689455.1	GCF_000367325.1	SRR3240400_final	GCF_000401415.1	SRR3240398_final	SRR3240414_final	SRR3240407_final	GCF_001521755.1	GCF_000240095.1	GCA_000773465.1	SRR3240397_final	GCF_000331815.1	SRR3240410_final	SRR3240412_final	SRR3240404_final	GCF_000735205.1	GCF_001482795.1	SRR3240413_final	SRR3240411_final	SRR3240408_final	GCF_000447375.1	GCF_000496055.1	SRR3240403_final	SRR3240406_final	GCF_000495935.2	GCF_001521745.1
SRR3240401_final	1.0	0.9838147821680188	0.9995937127040959	0.9855691634007295	0.9822225505240741	0.9829919168886703	0.9016677212370612	0.9244176428396477	0.9855123952522229	0.9996079001870308	0.99955271482488	0.9197434017595307	0.9854439331720274	0.9847510376871224	0.9190232712248309	0.9855414341079695	0.9861412050276913	0.9837715503989531	0.9842616646380744	0.9997367191119474	0.9855670539896476	0.9208529498066454	0.9838111515554303	0.8419568949887182	0.9994307003606582	0.8418768927466744	0.9995876965321852	0.9996094236667856	0.9996000743201718	0.8420655734741338	0.9858133432279409	0.9773710601907225	0.9996099601553026	0.9859128349067198	0.9994425793116567	0.9995882183563899	0.9996026499470284	0.9785376873501549	0.982446801273504	0.9996018201633378	0.9996113840766345	0.9996198361932251	0.9814711690825105	0.982191019922007	0.9996061301034304	0.9995043270280206	0.9853953065341795	0.9237070898572438
GCA_000982575.1	0.9838147821680188	1.0	0.9838310982229596	0.982098964041602	0.9810420671106289	0.9816530509135646	0.9009215185022276	0.9231683517302233	0.9836150392891191	0.9838106717700429	0.9838042371817293	0.9184807322693996	0.9820941669966139	0.9820514634779122	0.9177858132231329	0.9820696044343592	0.9949695263202717	0.982730342774323	0.9967743876136484	0.9838191268418613	0.9820762286832072	0.9171116847473254	0.9826643841443882	0.8418615400695553	0.9838088657993612	0.841910445272509	0.983786162641332	0.9838279491002345	0.9838370476968502	0.8419465243702551	0.9839200722685751	0.9766259729753785	0.9838149251638684	0.9838120088179247	0.983716498620203	0.9837934352758032	0.9838146795539434	0.9778697377930599	0.9806959860653164	0.9838038505915522	0.9838282289681979	0.9838275046010403	0.9804071634063743	0.9809969280302043	0.9838093467285104	0.9837200333312685	0.9820759764579989	0.9223229223638449
SRR3240409_final	0.9995937127040959	0.9838310982229596	1.0	0.9856021939934679	0.9822896124822589	0.9829973334134388	0.9023810394305434	0.9244047438249933	0.9855620277315671	0.9997510055743627	0.9995402473909363	0.9198292320416908	0.9854883994148984	0.9847707417617433	0.9190811470194904	0.9855874135490573	0.9861661004870611	0.9838929989222992	0.9843073666962517	0.9997175630646146	0.9855996406126494	0.9209391510908221	0.983949837075487	0.8421968913538742	0.9994149894597238	0.8421115632446603	0.9996101809602915	0.9995929904193417	0.9996117825680753	0.842312083667704	0.985851935328206	0.9775210493539446	0.9995973852321214	0.9859655544756346	0.9994221313605303	0.9995634774962935	0.999590670483295	0.9786472006747365	0.9826300902920071	0.9995816313630891	0.9995947942985174	0.9995829446645282	0.9815588079620978	0.9822524378984059	0.9995176567906701	0.999540519599865	0.9854151343733032	0.9235563164149867
GCF_000495995.1	0.9855691634007295	0.982098964041602	0.9856021939934679	1.0	0.9835304079500895	0.9844373352126783	0.9014045674642659	0.923979447131218	0.9824923216936916	0.9855756337329304	0.9854850345766767	0.9194371766610638	0.9994797159594179	0.9981854232072804	0.9184479586131946	0.9990103727595939	0.9837740265185644	0.983513198757764	0.9826268031398994	0.9855730741528954	0.9987806761317523	0.9202816582449029	0.9834659905546875	0.8416266829286378	0.9855632218083898	0.8416055655576697	0.9855940447676932	0.9855721433533038	0.9856066988715014	0.8416076557718062	0.9833034744412608	0.977872221580296	0.9855701163901677	0.9832388210280661	0.9852498392135183	0.9855555974637635	0.9855568454138748	0.9790827721923364	0.9819074065059843	0.9855629222822844	0.9855673965362077	0.9855776056420231	0.9818145440732569	0.9829171072749193	0.9855740716562511	0.9855525587425786	0.9995684139211602	0.9231772505186617
GCF_000496035.1	0.9822225505240741	0.9810420671106289	0.9822896124822589	0.9835304079500895	1.0	0.985163145383025	0.9021527462096417	0.9250371431171055	0.9817913916179619	0.9822329605112069	0.9822024554673772	0.9201740686108552	0.983749779330496	0.9826535708250537	0.9201392896876758	0.9835766920682173	0.9827121706993304	0.9831621287686799	0.981635589041842	0.9822335565131077	0.9833932661322278	0.91884228153354	0.9830647237903555	0.8418869270974243	0.9822110410228673	0.841854942384881	0.9822428420838366	0.9822324410515635	0.9822847124750523	0.8418311805221178	0.9824292452156261	0.977589178289622	0.9822373229775442	0.982327407782832	0.9820542800051713	0.9822550327082926	0.9822299946975369	0.9791553675759546	0.9809683628646167	0.9822243769709221	0.9822284858850524	0.9822223908538789	0.9815066161979911	0.9994503667496256	0.9822335200463563	0.9822832912579416	0.9836060920120604	0.9245881935393434
GCF_001011675.1	0.9829919168886703	0.9816530509135646	0.9829973334134388	0.9844373352126783	0.985163145383025	1.0	0.9019078310290379	0.9250011086507277	0.9819648525296287	0.9830436564211249	0.9829733723606809	0.9194107765421833	0.9843730417745316	0.984370323171672	0.9194185520056637	0.9844306510284987	0.9829595329467934	0.9837260562166763	0.9822967946434463	0.9829941912525961	0.9844740919956718	0.9196076591376575	0.9837213162722127	0.8440536395686246	0.9830223352039539	0.8432766329981339	0.9829889230667738	0.9829947611486145	0.9829962186135071	0.8440411715986169	0.9823970240667246	0.9793268810123551	0.9829940819689513	0.9823853287492716	0.9828589709103159	0.9829830273734984	0.9829783107201291	0.9805399085797696	0.98040868451021	0.9829943836721977	0.9829920431193248	0.9830442638324832	0.9818553335484721	0.9850734817549509	0.983044292651522	0.9829643089187888	0.9843392911770528	0.9234845203278361
GCF_001521765.1	0.9016677212370612	0.9009215185022276	0.9023810394305434	0.9014045674642659	0.9021527462096417	0.9019078310290379	1.0	0.9201037778704539	0.9025345135435987	0.9016669930153278	0.9016637658569324	0.9192430294297984	0.9013488903011266	0.9013938980228979	0.9182631160340239	0.9013611835000861	0.9017673482923056	0.9021490777941923	0.9010355936500616	0.9016675675560644	0.9013776268476366	0.9179025156362783	0.9021406117612387	0.842507848692221	0.9016660910212375	0.8424385665550596	0.9023806682485095	0.9016790973324474	0.9023939640021366	0.8426428759413718	0.9025523592214224	0.8998524775923665	0.901668265798879	0.9025167014363038	0.9017059719930607	0.9016809809310039	0.9016741155281767	0.9008111477251006	0.9019935703936433	0.9016643498767233	0.9016739596076716	0.9016685527756816	0.901414018667348	0.9025212252699907	0.9016661107592561	0.9023557198558924	0.9012946140756384	0.9185553806898475
GCF_001483145.1	0.9244176428396477	0.9231683517302233	0.9244047438249933	0.923979447131218	0.9250371431171055	0.9250011086507277	0.9201037778704539	1.0	0.9254296660262993	0.9244153045840916	0.9244347635840617	0.9364563728521793	0.9239255172462125	0.9241695668961574	0.9352617524741638	0.9239724041431745	0.924983636298645	0.9250661655548026	0.9234305727822854	0.9244173505577031	0.9239330367964672	0.9342015506628558	0.9250354831810605	0.8415910810211895	0.9244032984550393	0.8415183935190054	0.9243522382915079	0.9244273751751233	0.9243433570439881	0.84152181331106	0.9248799228688785	0.9216478443220697	0.9244142854554349	0.92492056204263	0.9245080550795832	0.924449968205579	0.9244358306108929	0.9225633240810118	0.9265593608896899	0.9244169226983883	0.9244260988109024	0.9244189207438236	0.923831771136571	0.9249771961788573	0.9244153878664431	0.924375542584292	0.9239130371451927	0.9708133299826701
GCF_001051975.1	0.9855123952522229	0.9836150392891191	0.9855620277315671	0.9824923216936916	0.9817913916179619	0.9819648525296287	0.9025345135435987	0.9254296660262993	1.0	0.9855095098278633	0.9854504442421045	0.9197226319504478	0.9823918744151584	0.9824765782531882	0.9201104876661237	0.9824199686818228	0.9835974775088422	0.9831806934464007	0.984377805033902	0.9855100166894881	0.9824592668966377	0.9201008320175675	0.9831807324201887	0.8425329329413118	0.9854812377987138	0.8424560924082697	0.9855632234798075	0.9855139441024551	0.9855632100945396	0.8423401433519035	0.9981549800526321	0.9777914736814003	0.9855030540556654	0.9980858774667601	0.9853694416372898	0.9855069902539441	0.985508142950299	0.9790255310702888	0.9824582908032503	0.9855126095064312	0.9855154186579795	0.9855097613882864	0.9816431994697162	0.9827983142575529	0.9855073789823235	0.9855218057433756	0.9822589721862913	0.9245561577831036
SRR3240402_final	0.9996079001870308	0.9838106717700429	0.9997510055743627	0.9855756337329304	0.9822329605112069	0.9830436564211249	0.9016669930153278	0.9244153045840916	0.9855095098278633	1.0	0.999703758619872	0.919743320852905	0.9854504038282955	0.9847576134843761	0.9190250331686542	0.9855479051384473	0.9861375890185465	0.9837686716236655	0.9842576240605034	0.999732623254174	0.9855735281017037	0.9208513935594552	0.9838088913865366	0.8419658313219119	0.9994371039315225	0.841880673793981	0.9995913539425257	0.9997686070424587	0.999760429821675	0.8420796774116495	0.9858106519352469	0.9773621903727047	0.9996135592063214	0.9859096082640579	0.9995765862104083	0.9997401128099136	0.9997636093475618	0.9785343968969334	0.9824427232076421	0.9997596822294958	0.9997656183251274	0.9997815948778896	0.9814693680076764	0.982201854142932	0.999775740706251	0.9996608058132745	0.9854006349642356	0.9237069424243499
