Isolate	Cover%_SRR3240412_unique_concat	Depth_SRR3240412_unique_concat	Mapped%_SRR3240412_unique_concat	Mapped%_Total	Total_Reads	Insert_Mean	Insert_StDev	Length_Max	Base_Qual_Mean	Base_Qual_StDev	A_%	T_%	G_%	C_%	N_%
SRR3240397	99.9999487882	103.047143546	95.6572658306	95.6572658306	1955358	506.8227	89.7121	251	36.3433	6.6054	32.0301	31.7937	18.1460	18.0302	0
SRR3240398	98.6388931494	74.4344463351	97.0830555836	97.0830555836	1485150	466.0510	104.3448	251	36.4929	6.3690	31.8832	31.6597	18.2744	18.1827	0
SRR3240399	99.9982331934	102.015492351	98.2063764287	98.2063764287	1877540	496.2631	88.4757	251	36.6603	5.8810	31.8220	31.5904	18.3561	18.2315	0
SRR3240400	100.0	88.756895603	96.7616697246	96.7616697246	1639456	511.6052	91.3478	251	36.4837	6.2150	32.1382	31.9255	18.0210	17.9153	0
SRR3240401	100.0	96.8087833846	97.3940404719	97.3940404719	1761616	523.4738	93.7669	251	36.4590	6.2604	32.1251	31.9144	18.0319	17.9286	0
SRR3240402	99.9982331934	75.5478592839	97.4334154933	97.4334154933	1402954	512.4892	95.8941	251	36.4630	6.2763	32.0701	31.8634	18.1051	17.9615	0
SRR3240403	100.0	51.27395873	96.6312107222	96.6312107222	983380	540.4760	139.9534	251	36.1466	6.7360	32.1596	31.9677	17.9894	17.8833	0.0000
SRR3240404	99.975341525	58.0437246503	94.0172098073	94.0172098073	1099838	554.9673	108.5148	251	35.9935	6.9845	32.0792	31.8468	18.0774	17.9967	0
SRR3240405	100.0	76.4557149921	97.2242917078	97.2242917078	1420106	511.1457	94.7621	251	36.4701	6.2604	32.0754	31.8424	18.0988	17.9834	0
SRR3240406	98.8661710561	103.782780995	97.4420933409	97.4420933409	2057190	456.0773	97.5065	251	36.7238	5.9725	31.9352	31.7119	18.2252	18.1278	0
SRR3240407	98.7581910051	78.7035039439	92.8226771348	92.8226771348	1526154	499.1329	89.1530	251	36.3397	6.6011	32.0655	31.8606	18.0674	18.0064	0.0000
SRR3240408	100.0	77.3862154772	89.6853995382	89.6853995382	1631784	537.8995	118.8584	251	35.6350	7.8347	31.8421	31.6281	18.3357	18.1942	0.0000
SRR3240409	99.0397277991	75.9788825779	95.7600376748	95.7600376748	1418456	521.4370	98.2921	251	36.3217	6.5466	32.0711	31.8839	18.0757	17.9693	0.0000
SRR3240410	100.0	94.9519385069	97.9737081204	97.9737081204	1761000	520.8939	92.5407	251	33.8928	9.1375	32.0882	31.9014	18.0831	17.9273	0
SRR3240411	100.0	119.633479295	98.0376545183	98.0376545183	2202976	534.2372	95.9694	251	33.9120	9.1365	32.0608	31.8768	18.1190	17.9433	0
SRR3240412	100.0	112.341208767	97.8155923617	97.8155923617	2128632	508.7725	93.4477	251	33.8546	9.2132	32.0000	31.7878	18.1887	18.0235	0
SRR3240413	99.9982331934	123.213133648	99.1847657984	99.1847657984	2230770	523.6271	99.0857	251	35.8274	6.9590	32.1664	31.9776	18.0065	17.8494	0
SRR3240414	99.9982331934	105.975258637	99.2125711926	99.2125711926	1879408	533.3281	96.2370	251	35.7867	6.9212	32.1966	32.0165	17.9718	17.8150	0
