	SRR3240401_final	GCA_000982575.1	SRR3240409_final	GCF_000495995.1	GCF_000496035.1	GCF_001011675.1	GCF_001521765.1	GCF_001483145.1	GCF_001051975.1	SRR3240402_final	SRR3240405_final	GCF_000955665.1	GCF_000495935.1	GCF_000496015.1	GCF_001521735.1	GCF_000495975.1	GCF_001521815.1	GCF_000689515.1	GCF_001050935.1	SRR3240399_final	GCF_000495955.1	GCF_000769445.1	GCF_000689455.1	GCF_000367325.1	SRR3240400_final	GCF_000401415.1	SRR3240398_final	SRR3240414_final	SRR3240407_final	GCF_001521755.1	GCF_000240095.1	GCA_000773465.1	SRR3240397_final	GCF_000331815.1	SRR3240410_final	SRR3240412_final	SRR3240404_final	GCF_000735205.1	GCF_001482795.1	SRR3240413_final	SRR3240411_final	SRR3240408_final	GCF_000447375.1	GCF_000496055.1	SRR3240403_final	SRR3240406_final	GCF_000495935.2	GCF_001521745.1
SRR3240401_final	1.0	0.9112800152320394	0.9989770377062038	0.8498902220957995	0.8436837382996265	0.892927003450397	0.7578545230231511	0.7982528447501699	0.8826272971807103	1.002111955603997	0.9967087015543287	0.7716170510962944	0.8495274823774165	0.8567349909871149	0.7834652948032635	0.8499648716401657	0.9051121544606222	0.8752631721228147	0.9122578848912829	1.0015174398268294	0.8494013121256038	0.7481374951972528	0.8737054574046375	0.4035748899951722	0.9935162268711517	0.4069192252262882	0.9934502215028663	1.001902225312615	0.9971243586617619	0.401920468502142	0.8766597820111762	0.8529604778716681	1.0006089958553104	0.8777214882263088	0.9825070482499053	1.0027452521497746	1.006881862969378	0.8697457909801946	0.8768656271251148	1.0036586054957577	1.004163090590018	1.0031072466553712	0.8746039168239217	0.8536315918625125	1.0034712351236432	0.986539178632097	0.8464118038513186	0.7963393477855024
GCA_000982575.1	0.9085942689924067	1.0	0.9067294973972961	0.8116639340423623	0.834165575440128	0.8858827707873663	0.7407646202027469	0.7916714982292566	0.8854065687163748	0.9103835859790862	0.9058514482957172	0.764034291891209	0.8110996916278435	0.8300810522785074	0.7757620390706823	0.8119058029281708	0.9429646637184411	0.8684339035881685	0.9959415147751758	0.9112388405318679	0.8116411351699769	0.7334722698826087	0.8676669423006703	0.4011052822628315	0.9016766322086959	0.4043550470274917	0.9025954848236682	0.9101673330326326	0.9045993419035979	0.3989596337802957	0.8736640176067896	0.8468970283276084	0.9090646063284076	0.8760350334265706	0.8952441677668366	0.9112826694970905	0.9099643779208471	0.8615636358370622	0.8571696651912653	0.9118938045585165	0.9121981701746763	0.9113170794795202	0.8610379891422082	0.844146036010406	0.9115919005536387	0.895909068356277	0.8057973906524467	0.78813775789466
SRR3240409_final	0.9834284271288316	0.8952551941637776	1.0	0.8354803293729314	0.8283117512973471	0.8789370411074782	0.7437150566041822	0.7835026771717475	0.8672989741480405	0.9843643286817716	0.9801722371715144	0.758054354028821	0.8351636013884124	0.8420452385029694	0.7688387311839651	0.8355630516565704	0.8894539149513018	0.8604598099679642	0.8962628433923919	0.9851549467286383	0.8350146701714511	0.734525761619044	0.8588442595213878	0.3993603601398438	0.9772027958949666	0.4026415565425523	0.9918618492748763	0.9852822591452698	0.9964941946921642	0.3977353377051273	0.863082938182451	0.8384772567157169	0.983919348453459	0.8643922712214088	0.9663325514714627	0.9863010793460658	0.9905131193012844	0.855443850223906	0.861005559598659	0.9870058012509675	0.9876798721773304	0.986691772735719	0.8605509488574878	0.8380768444896766	0.9874268069954413	0.9846514616060198	0.831981945284803	0.7816493251780429
GCF_000495995.1	0.938745597702154	0.8991728440338836	0.937419660444854	1.0	0.9255815024976963	0.8962522407524612	0.7563740049132462	0.7987677707205207	0.9039129525471411	0.9405872063795765	0.936427976442996	0.778008536909322	1.0156007355192345	0.9971567307923649	0.7840204077290255	1.0197828617442355	0.9022123308288904	0.8944317999472726	0.9009054465748787	0.9414938670033872	1.0173428233816557	0.7639154069944599	0.8936120457179209	0.40736184752906424	0.9315962566730043	0.411356759991235	0.9325021763382062	0.9407591594369596	0.9355649567682124	0.4055505400993294	0.8894832355837489	0.8568768184875756	0.9391536920469322	0.8900015374238727	0.9296326814930597	0.9416498495272718	0.9402306345795615	0.872309907223857	0.8833645016841846	0.94217260671231	0.9425834345382217	0.9415504335244234	0.8707366301256003	0.9071830660953336	0.9418354647845267	0.9267176536963806	1.0032042451098762	0.8012478715016763
GCF_000496035.1	0.8865581261302766	0.8791473124778771	0.8841666041120392	0.8805562880234463	1.0	0.8756049492163809	0.730454453386953	0.787230349228066	0.876014970192452	0.8882721358963773	0.884222915652734	0.76653775740309	0.876272357903512	0.8751978423799489	0.7701090130196204	0.880467824383581	0.8828916213961174	0.8799954960954173	0.8801018216270502	0.8890797221851031	0.8820671861093154	0.7422038225826427	0.8792990605818437	0.3984687598788215	0.880314172989746	0.40235790618099687	0.8794191272722583	0.8892788467797332	0.8820538785011737	0.3966490928194438	0.8650200508587857	0.8396608906260573	0.8868929765621992	0.8650231109524092	0.8812665962424658	0.8889976814577432	0.8883855987940782	0.848303295853489	0.856103130952807	0.8896972247627429	0.8900561783089392	0.889204432906399	0.8560744199574919	0.9827395145624424	0.8894460953845713	0.874386383271262	0.8706344963691934	0.7893447603451551
GCF_001011675.1	0.8962480866360495	0.8918060061771542	0.8961543140690965	0.8144369305927268	0.8363594257723459	1.0	0.7562375898593842	0.7891852947222071	0.8896286664871372	0.8978412964425344	0.8933778232391972	0.7763526810369028	0.813071051010509	0.8321839015390073	0.7707435628887622	0.8135841194433453	0.8949964847561653	0.8822650572648154	0.8925222957900928	0.8988123906282057	0.8131732095308359	0.7239143934755594	0.8804797121647739	0.42329946259210904	0.8893934772054496	0.42538546951640904	0.8914541808262992	0.8982965485535863	0.8943674690288141	0.4214025533761171	0.879219529220073	0.8643443096016143	0.8967694669004762	0.8804387609355472	0.8833116130973023	0.8988457369637572	0.897742011585346	0.8813604017428776	0.8719395860922543	0.8994454946020931	0.8996679558454971	0.8988410637073744	0.8887937307386803	0.8537518416300784	0.8990322570748976	0.8864612760977326	0.8138864962190732	0.7967520404509438
GCF_001521765.1	0.8380601630172071	0.821582982029516	0.8354273171312534	0.7572527586355657	0.7686965905233037	0.8331732659857267	1.0	0.8022527952874124	0.8200761431285853	0.8397055823592474	0.8352357820299269	0.8042193800428472	0.7563705500901878	0.7729873385594386	0.8097111663281927	0.7574355028316111	0.8254893562861246	0.8083479474620523	0.8225997303011892	0.8404409083789813	0.757193551676423	0.7659120829145832	0.8069552913058363	0.41297262755950986	0.831974365150029	0.4164266480691759	0.8321530594478872	0.8398130754761243	0.835345047162539	0.4101760334312234	0.8137526843235504	0.8217342351306923	0.8384932285218072	0.815526245313337	0.8243699049473168	0.840335889674796	0.8393674527762345	0.8333230443500906	0.8107216144310956	0.8411425260665094	0.8412810517324588	0.8406353331542477	0.8468792306732871	0.7822750864967332	0.8408163359218893	0.8265318231597125	0.7521511144145719	0.8354507472609378
GCF_001483145.1	0.8718222614528545	0.8671901615337335	0.869242019108066	0.7898105526591352	0.8182043261069887	0.8587251429118345	0.7923359626259622	1.0	0.8520784244705112	0.8735188290084456	0.8691523535551177	0.8114285404496715	0.789506954972501	0.8118835632432799	0.827198405587065	0.7901785951194076	0.8619019287375224	0.8421629456131201	0.8689051650968231	0.8741705373433535	0.7899076418235769	0.7873951887121954	0.8409147547757431	0.408928918314938	0.865321758663122	0.4132011457683685	0.8650518129703308	0.8734803192940834	0.86747615443474	0.40761014966876796	0.8421719094191579	0.8512141327580511	0.8722528589538578	0.8446983673550358	0.8598547575811786	0.8743679200013491	0.8732765980914409	0.8605294024844465	0.8417711576929654	0.8749822618103105	0.8752733555549073	0.8744186212944416	0.8530070003519618	0.8295689290242856	0.8746783905004019	0.8593516544953548	0.7855316044475893	0.8656149791664361
GCF_001051975.1	0.8076196159843195	0.8125574875313234	0.8061411387703227	0.7488089610698506	0.7628049371938503	0.8110095870313206	0.6785694945983556	0.7138740468211663	1.0	0.8092063085993001	0.8049720338645262	0.7072765024741198	0.74798414613004	0.7651604463371268	0.7068982474224367	0.7486576813436684	0.8298091667053882	0.7732789987839954	0.8123691248148657	0.8100146940502511	0.7482290364657229	0.6549110123852446	0.7717918902167434	0.3733042278621957	0.801735796164629	0.3758683335580764	0.8016394436312284	0.809189596369333	0.8041483030788122	0.37156036508830736	0.9138018227693914	0.7640827061085261	0.8080977330008201	0.9109846455990002	0.7948594497517997	0.8096677130853782	0.8089168559430047	0.7782149960533493	0.780678704510115	0.8104699680623095	0.8104832910857301	0.8100707303090352	0.779327323894161	0.7518426077188619	0.8102808177573438	0.7965915211556788	0.7478209668664304	0.7124673912761997
SRR3240402_final	1.0001656316388028	0.9113012276359287	0.9979856547139873	0.8499036026115998	0.8436730685290266	0.8927769641126722	0.7578676575807021	0.7982528447501699	0.8826437277438971	1.0	0.9958378936502363	0.7716309579285325	0.8495408537777434	0.8567486718908849	0.7835232175744781	0.8499782538724835	0.9051310943519729	0.8753065742870203	0.9122828711679529	1.0014650614526082	0.8494146926877074	0.7481503826143064	0.8736905939772401	0.40358947224243197	0.9935940675308159	0.40691896185547893	0.9935049040154246	1.0005671960070626	0.9961319540550352	0.4019497914051717	0.8767025433347703	0.8530328691007367	1.000692863430194	0.8777844730107719	0.9813082711125192	1.0018565713068004	1.0055465456387465	0.8697899955007927	0.8768459915611815	1.0022390389493572	1.0033370744596735	1.0017520914553402	0.874641536835546	0.8536293921716424	1.002043677535602	0.9854824049223353	0.8464385783605213	0.7963532376128049
