	SRR3240401_final	GCA_000982575.1	SRR3240409_final	GCF_000495995.1	GCF_000496035.1	GCF_001011675.1	GCF_001521765.1	GCF_001483145.1	GCF_001051975.1	SRR3240402_final	SRR3240405_final	GCF_000955665.1	GCF_000495935.1	GCF_000496015.1	GCF_001521735.1	GCF_000495975.1	GCF_001521815.1	GCF_000689515.1	GCF_001050935.1	SRR3240399_final	GCF_000495955.1	GCF_000769445.1	GCF_000689455.1	GCF_000367325.1	SRR3240400_final	GCF_000401415.1	SRR3240398_final	SRR3240414_final	SRR3240407_final	GCF_001521755.1	GCF_000240095.1	GCA_000773465.1	SRR3240397_final	GCF_000331815.1	SRR3240410_final	SRR3240412_final	SRR3240404_final	GCF_000735205.1	GCF_001482795.1	SRR3240413_final	SRR3240411_final	SRR3240408_final	GCF_000447375.1	GCF_000496055.1	SRR3240403_final	SRR3240406_final	GCF_000495935.2	GCF_001521745.1
SRR3240401_final	3924371.0	3565661.0	3859338.0	3683986.0	3479183.0	3517210.0	3288859.0	3421354.0	3169399.0	3925021.0	3925907.0	3273600.0	3684924.0	3632116.0	3313878.0	3683837.0	3584150.0	3529111.0	3578015.0	3919768.0	3681854.0	3425055.0	3526934.0	1549843.0	3931146.0	1545043.0	3851532.0	3924969.0	3848215.0	1548858.0	3546713.0	3428751.0	3925240.0	3539605.0	3932398.0	3924410.0	3943626.0	3423536.0	3527904.0	3925362.0	3924183.0	3924624.0	3464007.0	3492620.0	3925154.0	3857382.0	3698674.0	3382621.0
GCA_000982575.1	3565661.0	3912805.0	3502959.0	3518288.0	3439932.0	3489463.0	3214694.0	3393146.0	3179379.0	3565744.0	3568032.0	3241430.0	3518239.0	3519117.0	3281295.0	3518885.0	3734042.0	3501575.0	3906235.0	3566433.0	3518177.0	3357916.0	3502558.0	1540359.0	3567755.0	1535307.0	3499295.0	3565596.0	3491132.0	1537448.0	3534593.0	3404377.0	3566125.0	3532804.0	3583136.0	3566456.0	3564032.0	3391329.0	3448661.0	3566465.0	3564792.0	3565498.0	3410277.0	3453810.0	3565761.0	3503017.0	3521196.0	3347783.0
SRR3240409_final	3859338.0	3502959.0	3863290.0	3621524.0	3415792.0	3462104.0	3227498.0	3358134.0	3114357.0	3855508.0	3860772.0	3216060.0	3622619.0	3569839.0	3252011.0	3621418.0	3522145.0	3469423.0	3515280.0	3855728.0	3619493.0	3362739.0	3466943.0	1533658.0	3866597.0	1528801.0	3845374.0	3859860.0	3845783.0	1532730.0	3491785.0	3370531.0	3859769.0	3485852.0	3867661.0	3860053.0	3879515.0	3367240.0	3464094.0	3860232.0	3859768.0	3860399.0	3408348.0	3428978.0	3862395.0	3850001.0	3635618.0	3320222.0
GCF_000495995.1	3683986.0	3518288.0	3621524.0	4334661.0	3816913.0	3530308.0	3282434.0	3423561.0	3245833.0	3684044.0	3688469.0	3300716.0	4405286.0	4227432.0	3316226.0	4419846.0	3572667.0	3606400.0	3533489.0	3684846.0	4409821.0	3497288.0	3607292.0	1564386.0	3686141.0	1561892.0	3615241.0	3685440.0	3610638.0	1562847.0	3598593.0	3444494.0	3684160.0	3589127.0	3720773.0	3685303.0	3682575.0	3433629.0	3554051.0	3684887.0	3683535.0	3683785.0	3448690.0	3711725.0	3684061.0	3623479.0	4383830.0	3403471.0
GCF_000496035.1	3479183.0	3439932.0	3415792.0	3816913.0	4123800.0	3448979.0	3169951.0	3374111.0	3145655.0	3479139.0	3482840.0	3252051.0	3800933.0	3710389.0	3257384.0	3816040.0	3496159.0	3548192.0	3451894.0	3479706.0	3823449.0	3397890.0	3549514.0	1530234.0	3483228.0	1527724.0	3409442.0	3483765.0	3404122.0	1528544.0	3499622.0	3375289.0	3479149.0	3488396.0	3527192.0	3479240.0	3479515.0	3339133.0	3444370.0	3479653.0	3478263.0	3478983.0	3390618.0	4020863.0	3479136.0	3418863.0	3804523.0	3352910.0
GCF_001011675.1	3517210.0	3489463.0	3462104.0	3530308.0	3448979.0	3938967.0	3281842.0	3382490.0	3194540.0	3516619.0	3518900.0	3293691.0	3526790.0	3528032.0	3260068.0	3526159.0	3544093.0	3557343.0	3500609.0	3517798.0	3524818.0	3314159.0	3554280.0	1625591.0	3519153.0	1615158.0	3456101.0	3519092.0	3451644.0	1623935.0	3557069.0	3474512.0	3517893.0	3550563.0	3535377.0	3517782.0	3516161.0	3469254.0	3508085.0	3517779.0	3515825.0	3516686.0	3520208.0	3493112.0	3516633.0	3466076.0	3556544.0	3384374.0
GCF_001521765.1	3288859.0	3214694.0	3227498.0	3282434.0	3169951.0	3281842.0	4339697.0	3438498.0	2944786.0	3288916.0	3289886.0	3411916.0	3280845.0	3277069.0	3424892.0	3282805.0	3268852.0	3259305.0	3226362.0	3289342.0	3282166.0	3506429.0	3257480.0	1585933.0	3291957.0	1581142.0	3226195.0	3289982.0	3223858.0	1580672.0	3292209.0	3303227.0	3289284.0	3288789.0	3299468.0	3288794.0	3287527.0	3280167.0	3261786.0	3289753.0	3287654.0	3288958.0	3354199.0	3200666.0	3288917.0	3231751.0	3286771.0	3548755.0
GCF_001483145.1	3421354.0	3393146.0	3358134.0	3423561.0	3374111.0	3382490.0	3438498.0	4286053.0	3059702.0	3421354.0	3423479.0	3442501.0	3424578.0	3441969.0	3498859.0	3424717.0	3413042.0	3395649.0	3407979.0	3421354.0	3423970.0	3604781.0	3394566.0	1570404.0	3423906.0	1568895.0	3353741.0	3421874.0	3347862.0	1570784.0	3407185.0	3421731.0	3421718.0	3406432.0	3441493.0	3421984.0	3420338.0	3387258.0	3386708.0	3422102.0	3420493.0	3421134.0	3378469.0	3394168.0	3421371.0	3360077.0	3432638.0	3676884.0
GCF_001051975.1	3169399.0	3179379.0	3114357.0	3245833.0	3145655.0	3194540.0	2944786.0	3059702.0	3590869.0	3169458.0	3170681.0	3000634.0	3244468.0	3243887.0	2990017.0	3244761.0	3285958.0	3117905.0	3186236.0	3170259.0	3243308.0	2998254.0	3115534.0	1433595.0	3172309.0	1427145.0	3107896.0	3170014.0	3103460.0	1431861.0	3696979.0	3071478.0	3170047.0	3673746.0	3181355.0	3168769.0	3168262.0	3063248.0	3140914.0	3169791.0	3167299.0	3169375.0	3086649.0	3076152.0	3169475.0	3114684.0	3267849.0	3026357.0
SRR3240402_final	3925021.0	3565744.0	3855508.0	3684044.0	3479139.0	3516619.0	3288916.0	3421354.0	3169458.0	3916749.0	3922477.0	3273659.0	3684982.0	3632174.0	3314123.0	3683895.0	3584225.0	3529286.0	3578113.0	3919563.0	3681912.0	3425114.0	3526874.0	1549899.0	3931454.0	1545042.0	3851744.0	3919739.0	3844385.0	1548971.0	3546886.0	3429042.0	3925569.0	3539859.0	3927600.0	3920932.0	3938396.0	3423710.0	3527825.0	3919810.0	3920955.0	3919322.0	3464156.0	3492611.0	3919570.0	3853250.0	3698791.0	3382680.0
