Isolate	SRR3240403	SRR3240404	SRR3240405	SRR3240406	SRR3240407	SRR3240408	SRR3240409	SRR3240410	SRR3240411	SRR3240412	SRR3240413	SRR3240414	SRR3240397	SRR3240398	SRR3240399	SRR3240400	SRR3240401	SRR3240402
Cover%_CP007547	84.7589882256	84.8247802888	84.9550142477	84.1145463849	83.793549769	84.9588359084	84.0092790838	86.4720075939	84.9056988055	85.0563454671	84.8724023005	85.0478554305	84.9396818364	83.8236653708	84.8558799111	84.9717197107	84.8079375207	84.7748927418
Depth_CP007547	50.3678332814	57.2479414962	75.4756663366	103.1848609	77.7932611506	76.591183969	75.1603620861	92.023844318	118.138159517	110.999506298	121.245858609	103.996563921	102.008462927	74.0004398094	102.201471337	87.4130779038	95.7455348289	74.7331962574
Mapped%_CP007547	91.4075942159	89.2383241896	92.4272554302	93.2165721202	88.1576826454	85.3726351037	91.0315159582	93.0618966496	93.1836751739	93.1000285629	93.9253710602	93.913136477	91.0627619086	92.8147998519	94.2704815876	91.7823961119	92.6065044822	92.6175769127
Mapped%_Total	91.4075942159	89.2383241896	92.4272554302	93.2165721202	88.1576826454	85.3726351037	91.0315159582	93.0618966496	93.1836751739	93.1000285629	93.9253710602	93.913136477	91.0627619086	92.8147998519	94.2704815876	91.7823961119	92.6065044822	92.6175769127
Total_Reads	983380	1099838	1420106	2057190	1526154	1631784	1418456	1761000	2202976	2128632	2230770	1879408	1955358	1485150	1877540	1639456	1761616	1402954
Insert_Mean	538.4529	553.7880	510.2413	455.4736	498.4152	537.5244	520.4984	520.8290	534.2286	508.9074	523.1753	533.1802	506.4259	464.4560	496.3222	510.9330	522.9904	511.7306
Insert_StDev	140.2981	109.4759	95.3031	97.5149	89.6480	119.6067	99.2362	93.4477	96.9220	94.3580	100.2915	97.2452	90.4117	104.4974	89.1333	92.0298	94.4595	96.5887
Length_Max	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251	251
Base_Qual_Mean	36.1515	35.9958	36.4645	36.7204	36.3449	35.6507	36.3227	33.8600	33.8811	33.8229	35.7965	35.7538	36.3431	36.4885	36.6472	36.4812	36.4531	36.4575
Base_Qual_StDev	6.7165	6.9660	6.2534	5.9603	6.5720	7.7922	6.5275	9.1745	9.1719	9.2482	6.9949	6.9617	6.5863	6.3584	5.8873	6.2030	6.2539	6.2700
A_%	31.8634	31.7582	31.7494	31.6141	31.7654	31.5474	31.7885	31.7997	31.7708	31.6959	31.8735	31.9002	31.7055	31.5551	31.4927	31.8269	31.8053	31.7668
T_%	31.9828	31.8852	31.8812	31.7364	31.8809	31.6703	31.8817	31.9082	31.8939	31.8203	31.9890	32.0283	31.8445	31.6914	31.6590	31.9576	31.9431	31.8869
G_%	18.1035	18.2111	18.2114	18.3763	18.2205	18.4118	18.2006	18.1668	18.1943	18.2649	18.0908	18.0615	18.2512	18.4310	18.4639	18.1331	18.1567	18.1936
C_%	18.0502	18.1455	18.1580	18.2732	18.1333	18.3705	18.1292	18.1253	18.1410	18.2189	18.0467	18.0099	18.1988	18.3225	18.3843	18.0824	18.0948	18.1527
N_%	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	0	0	0	0	0	0	0	0	0	0	0
