replicon__gene,SRR3240403,SRR3240404,SRR3240405,SRR3240406,SRR3240407,SRR3240408,SRR3240409,SRR3240410,SRR3240411,SRR3240412,SRR3240413,SRR3240414,SRR3240397,SRR3240398,SRR3240399,SRR3240400,SRR3240401,SRR3240402
CP007547__BD94_0001,73.4394071491,87.8099389712,111.14646905,141.608544028,117.02005231,107.099389712,103.637314734,132.081952921,151.122929381,157.489102005,158.190061029,145.611159547,147.544899738,110.639930253,161.380122058,135.110723627,146.606800349,109.285091543
CP007547__BD94_0002,73.3520710059,84.2795857988,109.035502959,147.644970414,110.187869822,105.226331361,96.4068047337,122.068047337,147.035502959,151.539940828,156.034023669,141.121301775,146.579881657,98.8920118343,133.696745562,130.841715976,139.394970414,98.3668639053
CP007547__BD94_0003,76.3008982036,82.3211077844,108.122754491,126.555389222,97.3008982036,95.4199101796,95.8495508982,127.800149701,157.307634731,155.518712575,153.328592814,142.659431138,138.967814371,93.6407185629,136.801646707,127.291167665,139.266467066,97.2634730539
CP007547__BD94_0004,69.8268456376,85.2241610738,94.3476510067,144.174496644,106.55033557,99.7543624161,88.789261745,108.970469799,125.225503356,123.326174497,149.017449664,130.748993289,134.251006711,105.451006711,142.367785235,129.410738255,141.583892617,103.68590604
CP007547__BD94_0005,78.4672897196,78.3959218352,98.0807136788,130.862361937,118.317757009,98.0696686491,91.0807136788,115.589634664,139.996601529,123.5913339,154.337298216,141.835174172,136.202209006,90.2310960068,112.229396771,131.868309261,124.716227698,89.1265930331
CP007547__BD94_0006,73.9812286689,72.2320819113,126.982935154,146.431740614,132.40443686,105.711604096,103.501706485,131.633105802,155.790102389,127.303754266,150.841296928,132.023890785,155.993174061,94.5870307167,135.730375427,131.624573379,133.063139932,96.2320819113
CP007547__BD94_0007,70.7693315858,88.1454783748,101.909567497,141.576671035,131.034076016,110.5163827,108.918741809,126.098296199,153.812581913,138.938401048,156.796854522,135.412844037,146.888597641,105.062909567,125.669724771,122.861074705,148.844036697,108.714285714
CP007547__BD94_0008,58.5798319328,82.1218487395,90.7394957983,108.861344538,108.56302521,103.268907563,93.1176470588,115.365546218,135.634453782,153.361344538,126.533613445,126.134453782,126.399159664,113.68907563,127.424369748,102.903361345,121.054621849,90.2226890756
CP007547__BD94_0009,65.8612099644,77.9238434164,105.039857651,117.99430605,100.604982206,98.5964412811,94.0085409253,110.034163701,141.714590747,143.822775801,141.962989324,123.223487544,139.296797153,106.513879004,124.304626335,109.753024911,124.535231317,91.4448398577
CP007547__BD94_0010,80.3355006502,70.0858257477,114.912873862,125.404421326,103.589076723,97.9323797139,86.8296488947,123.577373212,127.397919376,129.769830949,165.126137841,147.416124837,130.126137841,100.509752926,116.583875163,114.306892068,131.286085826,100.146944083
