Isolate	Cover%_SRR3240412_unique_concat	Depth_SRR3240412_unique_concat	Mapped%_SRR3240412_unique_concat	Mapped%_Total	Total_Reads	SNPs	Hets_Removed	Indels	Ingroup/Fail
SRR3240397	99.9999487882	103.047143546	95.6572658306	95.6572658306	1955358	23	0	0	i
SRR3240398	98.6388931494	74.4344463351	97.0830555836	97.0830555836	1485150	59	5	0	i
SRR3240399	99.9982331934	102.015492351	98.2063764287	98.2063764287	1877540	24	0	0	i
SRR3240400	100.0	88.756895603	96.7616697246	96.7616697246	1639456	31	0	0	i
SRR3240401	100.0	96.8087833846	97.3940404719	97.3940404719	1761616	23	0	1	i
SRR3240402	99.9982331934	75.5478592839	97.4334154933	97.4334154933	1402954	29	2	0	i
SRR3240403	100.0	51.27395873	96.6312107222	96.6312107222	983380	29	1	0	i
SRR3240404	99.975341525	58.0437246503	94.0172098073	94.0172098073	1099838	61	3	0	i
SRR3240405	100.0	76.4557149921	97.2242917078	97.2242917078	1420106	18	1	1	i
SRR3240406	98.8661710561	103.782780995	97.4420933409	97.4420933409	2057190	62	2	0	i
SRR3240407	98.7581910051	78.7035039439	92.8226771348	92.8226771348	1526154	54	7	0	i
SRR3240408	100.0	77.3862154772	89.6853995382	89.6853995382	1631784	28	0	0	i
SRR3240409	99.0397277991	75.9788825779	95.7600376748	95.7600376748	1418456	35	27	0	i
SRR3240410	100.0	94.9519385069	97.9737081204	97.9737081204	1761000	26	0	2	i
SRR3240411	100.0	119.633479295	98.0376545183	98.0376545183	2202976	26	5	0	i
SRR3240412	100.0	112.341208767	97.8155923617	97.8155923617	2128632	0	2	0	i
SRR3240413	99.9982331934	123.213133648	99.1847657984	99.1847657984	2230770	25	1	0	i
SRR3240414	99.9982331934	105.975258637	99.2125711926	99.2125711926	1879408	21	1	0	i
