	SRR3240401_final	GCA_000982575.1	SRR3240409_final	GCF_000495995.1	GCF_000496035.1	GCF_001011675.1	GCF_001521765.1	GCF_001483145.1	GCF_001051975.1	SRR3240402_final	SRR3240405_final	GCF_000955665.1	GCF_000495935.1	GCF_000496015.1	GCF_001521735.1	GCF_000495975.1	GCF_001521815.1	GCF_000689515.1	GCF_001050935.1	SRR3240399_final	GCF_000495955.1	GCF_000769445.1	GCF_000689455.1	GCF_000367325.1	SRR3240400_final	GCF_000401415.1	SRR3240398_final	SRR3240414_final	SRR3240407_final	GCF_001521755.1	GCF_000240095.1	GCA_000773465.1	SRR3240397_final	GCF_000331815.1	SRR3240410_final	SRR3240412_final	SRR3240404_final	GCF_000735205.1	GCF_001482795.1	SRR3240413_final	SRR3240411_final	SRR3240408_final	GCF_000447375.1	GCF_000496055.1	SRR3240403_final	SRR3240406_final	GCF_000495935.2	GCF_001521745.1
SRR3240401_final	0.0	57711.0	1568.0	53163.0	61851.0	59821.0	323401.0	258594.0	45917.0	1539.0	1756.0	262728.0	53638.0	55386.0	268347.0	53263.0	49672.0	57272.0	56312.0	1032.0	53140.0	271083.0	57097.0	244942.0	2238.0	244307.0	1588.0	1533.0	1539.0	244618.0	50316.0	77589.0	1531.0	49863.0	2192.0	1616.0	1567.0	73477.0	61926.0	1563.0	1525.0	1492.0	64184.0	62200.0	1546.0	1912.0	54018.0	258070.0
GCA_000982575.1	57711.0	0.0	56639.0	62981.0	65214.0	64021.0	318507.0	260701.0	52094.0	57727.0	57787.0	264239.0	62997.0	63163.0	269769.0	63095.0	18784.0	60471.0	12600.0	57708.0	63059.0	278332.0	60719.0	243590.0	57766.0	242716.0	56737.0	57663.0	56427.0	242999.0	56836.0	79574.0	57718.0	57189.0	58346.0	57800.0	57685.0	75051.0	66573.0	57763.0	57649.0	57663.0	66817.0	65633.0	57732.0	57029.0	63114.0	260046.0
SRR3240409_final	1568.0	56639.0	0.0	52142.0	60495.0	58865.0	315065.0	253859.0	44965.0	960.0	1775.0	257834.0	52570.0	54366.0	263149.0	52194.0	48725.0	55882.0	55164.0	1089.0	52122.0	265861.0	55645.0	242016.0	2262.0	241380.0	1499.0	1571.0	1493.0	241693.0	49402.0	75766.0	1554.0	48922.0	2235.0	1685.0	1588.0	71900.0	60171.0	1615.0	1564.0	1610.0	62854.0	60856.0	1863.0	1769.0	53025.0	253810.0
GCF_000495995.1	53163.0	62981.0	52142.0	0.0	62863.0	54941.0	323633.0	260261.0	56827.0	53140.0	53538.0	265915.0	2292.0	7671.0	270445.0	4374.0	57970.0	59458.0	61388.0	53161.0	5377.0	278798.0	59643.0	247757.0	53216.0	247395.0	52081.0	53173.0	51969.0	247543.0	60084.0	76219.0	53162.0	60158.0	54882.0	53232.0	53188.0	71822.0	64302.0	53199.0	53163.0	53129.0	62716.0	63407.0	53146.0	52350.0	1892.0	261464.0
GCF_000496035.1	61851.0	65214.0	60495.0	62863.0	0.0	51172.0	310171.0	252933.0	57278.0	61814.0	61986.0	259598.0	61766.0	64362.0	260137.0	62672.0	60441.0	59744.0	63392.0	61822.0	63495.0	275765.0	60112.0	241950.0	61963.0	241602.0	60542.0	61898.0	60305.0	241768.0	61491.0	75643.0	61799.0	61649.0	63298.0	61739.0	61831.0	69603.0	65552.0	61853.0	61814.0	61848.0	62704.0	2210.0	61812.0	60571.0	62371.0	252849.0
GCF_001011675.1	59821.0	64021.0	58865.0	54941.0	51172.0	0.0	321923.0	253683.0	57614.0	59629.0	59915.0	265436.0	55113.0	55142.0	262701.0	54900.0	60393.0	57892.0	61972.0	59823.0	54726.0	266433.0	57859.0	253505.0	59747.0	253133.0	58792.0	59843.0	58691.0	253267.0	62615.0	71829.0	59825.0	62542.0	60600.0	59862.0	59851.0	67512.0	68728.0	59822.0	59797.0	59628.0	63873.0	52140.0	59627.0	59047.0	55698.0	258957.0
GCF_001521765.1	323401.0	318507.0	315065.0	323633.0	310171.0	321923.0	0.0	274723.0	287015.0	323409.0	323515.0	275536.0	323659.0	323139.0	279940.0	323812.0	321108.0	318926.0	319295.0	323449.0	323695.0	287869.0	318775.0	249772.0	323711.0	249127.0	314939.0	323474.0	314668.0	248730.0	320818.0	330810.0	323441.0	320602.0	324318.0	323351.0	323249.0	325356.0	319676.0	323500.0	323262.0	323408.0	330677.0	311997.0	323412.0	315562.0	324422.0	289027.0
GCF_001483145.1	258594.0	260701.0	253859.0	260261.0	252933.0	253683.0	274723.0	0.0	228163.0	258602.0	258696.0	218749.0	260523.0	261006.0	226510.0	260373.0	256034.0	254449.0	260947.0	258595.0	260451.0	237189.0	254472.0	248766.0	258836.0	248641.0	253703.0	258600.0	253288.0	248935.0	255948.0	268100.0	258633.0	255753.0	259805.0	258531.0	258455.0	262298.0	248722.0	258653.0	258500.0	258573.0	257332.0	254640.0	258603.0	254104.0	261179.0	107316.0
GCF_001051975.1	45917.0	52094.0	44965.0	56827.0	57278.0	57614.0	287015.0	228163.0	0.0	45927.0	46132.0	240883.0	57129.0	56844.0	238871.0	57043.0	53898.0	52441.0	49776.0	45937.0	56890.0	239558.0	52401.0	225744.0	46058.0	224838.0	44868.0	45921.0	44804.0	225747.0	6821.0	68213.0	45956.0	7032.0	46545.0	45925.0	45914.0	64250.0	55097.0	45922.0	45877.0	45925.0	56661.0	52915.0	45934.0	45095.0	57975.0	228320.0
SRR3240402_final	1539.0	57727.0	960.0	53140.0	61814.0	59629.0	323409.0	258602.0	45927.0	0.0	1162.0	262733.0	53615.0	55363.0	268361.0	53240.0	49686.0	57285.0	56328.0	1048.0	53117.0	271093.0	57104.0	244937.0	2213.0	244301.0	1574.0	907.0	921.0	244614.0	50328.0	77626.0	1517.0	49878.0	1663.0	1019.0	931.0	73492.0	61939.0	942.0	919.0	856.0	64193.0	62162.0	879.0	1307.0	54000.0	258075.0
